Batter,FirstLetterLastName,FirstFiveLastName,FirstTwoFirstName,Number,Link
Luis Rengifo,r,rengi,lu,01,rengilu01
George Springer,s,sprin,ge,01,springe01
Jose Altuve,a,altuv,jo,01,altuvjo01
Alex Bregman,b,bregm,al,01,bregmal01
Michael Brantley,b,brant,mi,02,brantmi02
Yulieski Gurriel,g,gurri,yu,01,gourryu01
Carlos Correa,c,corre,ca,01,correca01
Josh Reddick,r,reddi,jo,01,reddijo01
Kyle Tucker,t,tucke,ky,01,tuckeky01
Martin Maldonado,m,maldo,ma,01,maldoma01
Michael Hermosillo,h,hermo,mi,01,hermomi01
Abraham Toro,t,toro,ab,01,toroab01
Matt Thaiss,t,thais,ma,01,thaisma01
Jack Mayfield,m,mayfi,ja,01,mayfija01
Dustin Garneau,g,garne,du,01,garnedu01
Marcus Semien,s,semie,ma,01,semiema01
Ramon Laureano,l,laure,ra,01,laurera01
Matt Olson,o,olson,ma,02,olsonma02
Matt Chapman,c,chapm,ma,01,chapmma01
Mark Canha,c,canha,ma,01,canhama01
Robbie Grossman,g,gross,ro,01,grossro01
Stephen Piscotty,p,pisco,st,01,piscost01
Chad Pinder,p,pinde,ch,01,pindech01
Sean Murphy,m,murph,se,01,murphse01
Jo Adell,a,adell,jo,01,adelljo01
Khris Davis,d,davis,kh,01,daviskh01
Tony Kemp,k,kemp,to,01,kempto01
Austin Allen,a,allen,au,01,allenau01
Mookie Betts,b,betts,mo,01,bettsmo01
Corey Seager,s,seage,co,01,seageco01
Justin Turner,t,turne,ju,01,turneju01
A.J. Pollock,p,pollo,a.,01,polloaj01
Cody Bellinger,b,belli,co,01,bellico01
Chris Taylor,t,taylo,ch,03,tayloch03
Enrique Hernandez,h,herna,en,02,hernaen02
Edwin Rios,r,rios,ed,01,riosed01
Austin Barnes,b,barne,au,01,barneau01
Max Muncy,m,muncy,ma,01,muncyma01
Joc Pederson,p,peder,jo,01,pederjo01
Matt Beaty,b,beaty,ma,01,beatyma01
Keibert Ruiz,r,ruiz,ke,01,ruizke01
Mike Yastrzemski,y,yastr,mi,01,yastrmi01
Alex Dickerson,d,dicke,al,01,dickeal01
Donovan Solano,s,solan,do,01,solando01
Brandon Belt,b,belt,br,01,beltbr01
Evan Longoria,l,longo,ev,01,longoev01
Pablo Sandoval,s,sando,pa,01,sandopa01
Brandon Crawford,c,crawf,br,01,crawfbr01
Mauricio Dubon,d,dubon,ma,01,dubonma01
Chadwick Tromp,t,tromp,ch,01,trompch01
Tyler Heineman,h,heine,ty,01,heinety01
Steven Duggar,d,dugga,st,01,duggast01
Anthony Bemboom,b,bembo,an,01,bemboan01
Sam Haggerty,h,hagge,sa,01,haggesa01
Austin Nola,n,nola,au,01,nolaau01
Braden Bishop,b,bisho,br,01,bishobr01
Andrelton Simmons,s,simmo,an,01,simmoan01
Jake Fraley,f,frale,ja,01,fraleja01
Donovan Walton,w,walto,do,01,waltodo01
Trent Grisham,g,grish,tr,01,grishtr01
Fernando Tatis,t,tatis,fe,02,tatisfe02
Manny Machado,m,macha,ma,01,machama01
Eric Hosmer,h,hosme,er,01,hosmeer01
Mitch Moreland,m,morel,mi,01,morelmi01
Jake Cronenworth,c,crone,ja,01,croneja01
Jurickson Profar,p,profa,ju,01,profaju01
Greg Allen,a,allen,gr,01,allengr01
Wil Myers,m,myers,wi,01,myerswi01
Jorge Mateo,m,mateo,jo,01,mateojo01
Franklin Barreto,b,barre,fr,02,barrefr02
Aledmys Diaz,d,diaz,al,02,diazal02
Jose Briceno,b,brice,jo,01,bricejo01
Josh Rojas,r,rojas,jo,01,rojasjo01
Pavin Smith,s,smith,pa,04,smithpa04
Christian Walker,w,walke,ch,02,walkech02
Kole Calhoun,c,calho,ko,01,calhoko01
Eduardo Escobar,e,escob,ed,01,escobed01
David Peralta,p,peral,da,01,peralda01
Nick Ahmed,a,ahmed,ni,01,ahmedni01
Daulton Varsho,v,varsh,da,01,varshda01
Carson Kelly,k,kelly,ca,02,kellyca02
Josh VanMeter,v,vanme,jo,01,vanmejo01
Stephen Vogt,v,vogt,st,01,vogtst01
Leody Taveras,t,taver,le,01,taverle01
Nick Solak,s,solak,ni,01,solakni01
Isiah Kiner-Falefa,k,kiner,is,01,kineris01
Joey Gallo,g,gallo,jo,01,gallojo01
Ronald Guzman,g,guzma,ro,01,guzmaro01
Anderson Tejeda,t,tejed,an,01,tejedan01
Willie Calhoun,c,calho,wi,01,calhowi01
Sam Huff,h,huff,sa,01,huffsa01
Eli White,w,white,el,04,whiteel04
Rougned Odor,o,odor,ro,01,odorro01
Sherten Apostel,a,apost,sh,01,apostsh01
Jeff Mathis,m,mathi,je,01,mathije01
Derek Dietrich,d,dietr,de,01,dietrde01
Will Smith,s,smith,wi,05,smithwi05
Ketel Marte,m,marte,ke,01,marteke01
Starling Marte,m,marte,st,01,martest01
Jake Lamb,l,lamb,ja,01,lambja01
Ildemaro Vargas,v,varga,il,01,vargail01
Tim Locastro,l,locas,ti,01,locasti01
Myles Straw,s,straw,my,01,strawmy01
Jon Jay,j,jay,jo,02,jayjo02
Andy Young,y,young,an,02,youngan02
Tommy Pham,p,pham,th,01,phamth01
Francisco Mejia,m,mejia,fr,01,mejiafr01
Edward Olivares,o,oliva,ed,02,olivaed02
Austin Hedges,h,hedge,au,01,hedgeau01
Vimael Machin,m,machi,vi,01,machivi01
Kevin Cron,c,cron,ke,01,cronke01
Raimel Tapia,t,tapia,ra,01,tapiara01
Trevor Story,s,story,tr,01,storytr01
Nolan Arenado,a,arena,no,01,arenano01
Daniel Murphy,m,murph,da,08,murphda08
Ryan McMahon,m,mcmah,ry,01,mcmahry01
Matt Kemp,k,kemp,ma,01,kempma01
Sam Hilliard,h,hilli,sa,01,hillisa01
Garrett Hampson,h,hamps,ga,01,hampsga01
Tony Wolters,w,wolte,to,01,wolteto01
Charlie Blackmon,b,black,ch,02,blackch02
Josh Fuentes,f,fuent,jo,01,fuentjo01
Brendan Rodgers,r,rodge,br,02,rodgebr02
Drew Butera,b,buter,dr,01,buterdr01
Elias Diaz,d,diaz,el,01,diazel01
Wilmer Flores,f,flore,wi,01,florewi01
Joey Bart,b,bart,jo,01,bartjo01
Joey Rickard,r,ricka,jo,01,rickajo01
Gavin Lux,l,lux,ga,01,luxga01
Wyatt Mathisen,m,mathi,wy,01,mathiwy01
Ty France,f,franc,ty,01,francty01
Luis Torrens,t,torre,lu,01,torrelu01
Phil Ervin,e,ervin,ph,01,ervinph01
Kevin Pillar,p,pilla,ke,01,pillake01
Brandon Lowe,l,lowe,br,01,lowebr01
Joey Wendle,w,wendl,jo,01,wendljo01
Yandy Diaz,d,diaz,ya,01,diazya01
Yoshi Tsutsugo,t,tsuts,yo,01,tsutsyo01
Manuel Margot,m,margo,ma,01,margoma01
Kevin Kiermaier,k,kierm,ke,01,kiermke01
Hunter Renfroe,r,renfr,hu,01,renfrhu01
Willy Adames,a,adame,wi,01,adamewi01
Mike Zunino,z,zunin,mi,01,zuninmi01
Ronald Acuna,a,acuna,ro,01,acunaro01
Ozzie Albies,a,albie,oz,01,albieoz01
Freddie Freeman,f,freem,fr,01,freemfr01
Marcell Ozuna,o,ozuna,ma,01,ozunama01
Matt Adams,a,adams,ma,01,adamsma01
Travis d'Arnaud,d,d'arn,tr,01,darnatr01
Dansby Swanson,s,swans,da,01,swansda01
Austin Riley,r,riley,au,01,rileyau01
Ender Inciarte,i,incia,en,01,inciaen01
Jose Martinez,m,marti,jo,08,martijo08
Mike Brosseau,b,bross,mi,01,brossmi01
Adam Duvall,d,duval,ad,01,duvalad01
Johan Camargo,c,camar,jo,01,camarjo01
Tyler Flowers,f,flowe,ty,01,flowety01
Amed Rosario,r,rosar,am,01,rosaram01
Brandon Nimmo,n,nimmo,br,01,nimmobr01
Pete Alonso,a,alons,pe,01,alonspe01
J.D. Davis,d,davis,j.,01,davisjd01
Michael Conforto,c,confo,mi,01,confomi01
Yoenis Cespedes,c,cespe,yo,01,cespeyo01
Robinson Cano,c,cano,ro,01,canoro01
Wilson Ramos,r,ramos,wi,01,ramoswi01
Andres Gimenez,g,gimen,an,01,gimenan01
Adeiny Hechavarria,h,hecha,ad,01,hechaad01
Jeff McNeil,m,mcnei,je,01,mcneije01
Dominic Smith,s,smith,do,02,smithdo02
Tomas Nido,n,nido,to,01,nidoto01
Bo Bichette,b,biche,bo,01,bichebo01
Cavan Biggio,b,biggi,ca,01,biggica01
Teoscar Hernandez,h,herna,te,01,hernate01
Lourdes Gurriel,g,gurri,lo,01,gurrilo01
Vladimir Guerrero Jr.,g,guerr,vl,02,guerrvl02
Randal Grichuk,g,grich,ra,01,grichra01
Danny Jansen,j,janse,da,01,janseda01
Brandon Drury,d,drury,br,01,drurybr01
Anthony Alford,a,alfor,an,01,alforan01
Charlie Culberson,c,culbe,ch,01,culbech01
Rowdy Tellez,t,telle,ro,01,tellero01
Travis Shaw,s,shaw,tr,01,shawtr01
Joe Panik,p,panik,jo,01,panikjo01
Reese McGuire,m,mcgui,re,01,mcguire01
Nick Markakis,m,marka,ni,01,markani01
Trea Turner,t,turne,tr,01,turnetr01
Adam Eaton,e,eaton,ad,02,eatonad02
Juan Soto,s,soto,ju,01,sotoju01
Asdrubal Cabrera,c,cabre,as,01,cabreas01
Kurt Suzuki,s,suzuk,ku,01,suzukku01
Luis Garcia,g,garci,lu,04,garcilu04
Carter Kieboom,k,kiebo,ca,01,kieboca01
Eric Thames,t,thame,er,01,thameer01
Victor Robles,r,roble,vi,01,roblevi01
Yan Gomes,g,gomes,ya,01,gomesya01
Andrew McCutchen,m,mccut,an,01,mccutan01
Rhys Hoskins,h,hoski,rh,01,hoskirh01
J.T. Realmuto,r,realm,j.,01,realmjt01
Jean Segura,s,segur,je,01,segurje01
Phil Gosselin,g,gosse,ph,01,gosseph01
Didi Gregorius,g,grego,di,01,gregodi01
Alec Bohm,b,bohm,al,01,bohmal01
Roman Quinn,q,quinn,ro,01,quinnro01
Scott Kingery,k,kinge,sc,01,kingesc01
Cristian Pache,p,pache,cr,01,pachecr01
Bryce Harper,h,harpe,br,03,harpebr03
Andrew Knapp,k,knapp,an,01,knappan01
Adam Haseley,h,hasel,ad,01,haselad01
Howie Kendrick,k,kendr,ho,01,kendrho01
Brock Holt,h,holt,br,01,holtbr01
Michael Taylor,t,taylo,mi,02,taylomi02
Corey Dickerson,d,dicke,co,01,dickeco01
Jesus Aguilar,a,aguil,je,01,aguilje01
Matthew Joyce,j,joyce,ma,01,joycema01
Garrett Cooper,c,coope,ga,03,coopega03
Jon Berti,b,berti,jo,01,bertijo01
Jazz Chisholm,c,chish,ja,01,chishja01
Miguel Rojas,r,rojas,mi,02,rojasmi02
Jorge Alfaro,a,alfar,jo,01,alfarjo01
Brian Anderson,a,ander,br,06,anderbr06
Lewis Brinson,b,brins,le,01,brinsle01
Monte Harrison,h,harri,mo,01,harrimo01
Chad Wallach,w,walla,ch,01,wallach01
Alex Verdugo,v,verdu,al,01,verdual01
Christian Arroyo,a,arroy,ch,01,arroych01
J.D. Martinez,m,marti,j.,01,martijd02
Jackie Bradley,b,bradl,ja,02,bradlja02
Kevin Plawecki,p,plawe,ke,01,plaweke01
Bobby Dalbec,d,dalbe,bo,01,dalbebo01
Tzu-Wei Lin,l,lin,tz,01,lintz02
Michael Chavis,c,chavi,mi,01,chavimi01
Jonathan Arauz,a,arauz,jo,01,arauzjo01
Rafael Devers,d,dever,ra,01,deverra01
Xander Bogaerts,b,bogae,xa,01,bogaexa01
Christian Vazquez,v,vazqu,ch,01,vazquch01
Nick Senzel,s,senze,ni,01,senzeni01
Nick Castellanos,c,caste,ni,01,casteni01
Joey Votto,v,votto,jo,01,vottojo01
Eugenio Suarez,s,suare,eu,01,suareeu01
Mike Moustakas,m,moust,mi,01,moustmi01
Aristides Aquino,a,aquin,ar,01,aquinar01
Jesse Winker,w,winke,je,01,winkeje01
Kyle Farmer,f,farme,ky,01,farmeky01
Curt Casali,c,casal,cu,01,casalcu01
Shogo Akiyama,a,akiya,sh,01,akiyash01
Freddy Galvis,g,galvi,fr,01,galvifr01
Tucker Barnhart,b,barnh,tu,01,barnhtu01
Magneuris Sierra,s,sierr,ma,01,sierrma01
DJ LeMahieu,l,lemah,dj,01,lemahdj01
Aaron Judge,j,judge,aa,01,judgeaa01
Gleyber Torres,t,torre,gl,01,torregl01
Giancarlo Stanton,s,stant,gi,01,stantmi03
Aaron Hicks,h,hicks,aa,01,hicksaa01
Mike Ford,f,ford,mi,01,fordmi01
Gary Sanchez,s,sanch,ga,02,sanchga02
Gio Urshela,u,urshe,gi,01,urshegi01
Brett Gardner,g,gardn,br,01,gardnbr01
Austin Hays,h,hays,au,01,haysau01
Anthony Santander,s,santa,an,02,santaan02
Jose Iglesias,i,igles,jo,01,iglesjo01
Rio Ruiz,r,ruiz,ri,01,ruizri01
Hanser Alberto,a,alber,ha,01,alberha01
Renato Nunez,n,nunez,re,01,nunezre01
Dwight Smith Jr.,s,smith,dw,01,smithdw02
Pedro Severino,s,sever,pe,01,severpe01
DJ Stewart,s,stewa,dj,01,stewadj01
Luke Voit,v,voit,lu,01,voitlu01
Miguel Andujar,a,anduj,mi,01,andujmi01
Pat Valaika,v,valai,pa,01,valaipa01
Cedric Mullins,m,mulli,ce,01,mullice01
Ji-Man Choi,c,choi,ji,01,choiji01
Andrew Velazquez,v,velaz,an,01,velazan01
Chance Sisco,s,sisco,ch,01,siscoch01
Jonathan Villar,v,villa,jo,01,villajo01
Logan Forsythe,f,forsy,lo,01,forsylo01
Francisco Cervelli,c,cerve,fr,01,cervefr01
Chris Davis,d,davis,ch,02,davisch02
Bryan Holaday,h,holad,br,01,holadbr01
Josh Harrison,h,harri,jo,05,harrijo05
Wilmer Difo,d,difo,wi,01,difowi01
Santiago Espinal,e,espin,sa,01,espinsa01
Jose Peraza,p,peraz,jo,01,perazjo01
Ryan Mountcastle,m,mount,ry,01,mountry01
Ramon Urias,u,urias,ra,01,uriasra01
Luis Guillorme,g,guill,lu,01,guilllu01
Ali Sanchez,s,sanch,al,04,sanchal04
Todd Frazier,f,frazi,to,01,frazito01
Jake Marisnick,m,maris,ja,01,marisja01
Clint Frazier,f,frazi,cl,01,frazicl01
Kyle Higashioka,h,higas,ky,01,higasky01
Thairo Estrada,e,estra,th,01,estrath01
Tyler Wade,w,wade,ty,01,wadety01
Mason Williams,w,willi,ma,10,willima10
Mike Tauchman,t,tauch,mi,01,tauchmi01
Erik Kratz,k,kratz,er,01,kratzer01
Randy Arozarena,a,aroza,ra,01,arozara01
Nate Lowe,l,lowe,na,01,lowena01
Michael Perez,p,perez,mi,03,perezmi03
Brett Phillips,p,phill,br,02,phillbr02
Kevan Smith,s,smith,ke,04,smithke04
Andrew Benintendi,b,benin,an,01,beninan01
Austin Meadows,m,meado,au,01,meadoau01
Jay Bruce,b,bruce,ja,01,bruceja01
Kyle Garlick,g,garli,ky,01,garliky01
Yairo Munoz,m,munoz,ya,01,munozya01
Derek Fisher,f,fishe,de,01,fishede01
Caleb Joseph,j,josep,ca,01,josepca01
Cesar Puello,p,puell,ce,01,puellce01
Max Kepler,k,keple,ma,01,keplema01
Josh Donaldson,d,donal,jo,02,donaljo02
Jorge Polanco,p,polan,jo,01,polanjo01
Nelson Cruz,c,cruz,ne,02,cruzne02
Eddie Rosario,r,rosar,ed,01,rosared01
Mitch Garver,g,garve,mi,01,garvemi01
Jake Cave,c,cave,ja,01,caveja01
Miguel Sano,s,sano,mi,01,sanomi01
Luis Arraez,a,arrae,lu,01,arraelu01
Tim Anderson,a,ander,ti,01,anderti01
Yoan Moncada,m,monca,yo,01,moncayo01
Jose Abreu,a,abreu,jo,02,abreujo02
Yasmani Grandal,g,grand,ya,01,grandya01
Edwin Encarnacion,e,encar,ed,01,encared01
Eloy Jimenez,j,jimen,el,02,jimenel02
Luis Robert,r,rober,lu,01,roberlu01
Nicky Delmonico,d,delmo,ni,01,delmoni01
Leury Garcia,g,garci,le,02,garcile02
Marwin Gonzalez,g,gonza,ma,01,gonzama01
Ehire Adrianza,a,adria,eh,01,adriaeh01
James McCann,m,mccan,ja,02,mccanja02
Alex Avila,a,avila,al,01,avilaal01
Danny Mendick,m,mendi,da,01,mendida01
Ryon Healy,h,healy,ry,01,healyry01
Keston Hiura,h,hiura,ke,01,hiurake01
Avisail Garcia,g,garci,av,01,garciav01
Jedd Gyorko,g,gyork,je,01,gyorkje01
Ben Gamel,g,gamel,be,01,gamelbe01
Manny Pina,p,pina,ma,01,pinama01
Mark Mathias,m,mathi,ma,01,mathima01
Orlando Arcia,a,arcia,or,01,arciaor01
Eric Sogard,s,sogar,er,01,sogarer01
Nomar Mazara,m,mazar,no,01,mazarno01
Christian Yelich,y,yelic,ch,01,yelicch01
Justin Smoak,s,smoak,ju,01,smoakju01
Omar Narvaez,n,narva,om,01,narvaom01
Zack Collins,c,colli,za,01,colliza01
Cesar Hernandez,h,herna,ce,02,hernace02
Jose Ramirez,r,ramir,jo,01,ramirjo01
Francisco Lindor,l,lindo,fr,01,lindofr01
Carlos Santana,s,santa,ca,01,santaca01
Franmil Reyes,r,reyes,fr,01,reyesfr01
Bradley Zimmer,z,zimme,br,01,zimmebr01
Oscar Mercado,m,merca,os,01,mercaos01
Sandy Leon,l,leon,sa,01,leonsa01
Delino DeShields,d,deshi,de,02,deshide02
Adam Engel,e,engel,ad,01,engelad01
Domingo Santana,s,santa,do,01,santado01
Jordan Luplow,l,luplo,jo,01,luplojo01
Beau Taylor,t,taylo,be,11,taylobe11
Mike Freeman,f,freem,mi,01,freemmi01
Kolten Wong,w,wong,ko,01,wongko01
Tommy Edman,e,edman,to,01,edmanto01
Paul Goldschmidt,g,golds,pa,01,goldspa01
Tyler O'Neill,o,o'nei,ty,01,oneilty01
Matt Carpenter,c,carpe,ma,01,carpema01
Dylan Carlson,c,carls,dy,01,carlsdy01
Andrew Knizner,k,knizn,an,01,kniznan01
Dexter Fowler,f,fowle,de,01,fowlede01
John Nogowski,n,nogow,jo,01,nogowjo01
JaCoby Jones,j,jones,ja,07,jonesja07
Willi Castro,c,castr,wi,01,castrwi01
Miguel Cabrera,c,cabre,mi,01,cabremi01
Jonathan Schoop,s,schoo,jo,01,schoojo01
Jeimer Candelario,c,cande,je,01,candeje01
Cameron Maybin,m,maybi,ca,01,maybica01
Austin Romine,r,romin,au,01,rominau01
Isaac Paredes,p,pared,is,01,paredis01
Victor Reyes,r,reyes,vi,01,reyesvi01
Niko Goodrum,g,goodr,ni,01,goodrni01
Harold Castro,c,castr,ha,01,castrha01
Christin Stewart,s,stewa,ch,02,stewach02
Jorge Bonifacio,b,bonif,jo,01,bonifjo01
Grayson Greiner,g,grein,gr,01,greingr01
Erik Gonzalez,g,gonza,er,01,gonzaer01
Adam Frazier,f,frazi,ad,01,fraziad01
Bryan Reynolds,r,reyno,br,01,reynobr01
Josh Bell,b,bell,jo,02,belljo02
Gregory Polanco,p,polan,gr,01,polangr01
JT Riddle,r,riddl,jt,01,riddljt01
Cole Tucker,t,tucke,co,01,tuckeco01
Jarrod Dyson,d,dyson,ja,01,dysonja01
John Ryan Murphy,r,ryan ,jo,01,murphjr01
Jacob Stallings,s,stall,ja,01,stallja01
Jose Osuna,o,osuna,jo,01,osunajo01
Whit Merrifield,m,merri,wh,01,merriwh01
Hunter Dozier,d,dozie,hu,01,doziehu01
Jorge Soler,s,soler,jo,01,solerjo01
Ryan O'Hearn,o,o'hea,ry,01,ohearry01
Maikel Franco,f,franc,ma,02,francma02
Alex Gordon,g,gordo,al,01,gordoal01
Adalberto Mondesi,m,monde,ad,02,mondera02
Nicky Lopez,l,lopez,ni,01,lopezni01
Cam Gallagher,g,galla,ca,01,gallaca01
Meibrys Viloria,v,vilor,me,01,vilorme01
Nick Madrigal,m,madri,ni,01,madrini01
Daz Cameron,c,camer,da,01,camerda01
Yolmer Sanchez,s,sanch,yo,01,sanchca01
Sergio Alcantara,a,alcan,se,01,alcanse01
LaMonte Wade Jr,w,wade ,la,01,wadela01
Byron Buxton,b,buxto,by,01,buxtoby01
Willians Astudillo,a,astud,wi,01,astudwi01
Travis Blankenhorn,b,blank,tr,01,blanktr01
Ryan Jeffers,j,jeffe,ry,01,jeffery01
Ian Happ,h,happ,ia,01,happia01
Anthony Rizzo,r,rizzo,an,01,rizzoan01
Willson Contreras,c,contr,wi,01,contrwi01
Jason Heyward,h,heywa,ja,01,heywaja01
Javier Baez,b,baez,ja,01,baezja01
Kyle Schwarber,s,schwa,ky,01,schwaky01
Victor Caratini,c,carat,vi,01,caratvi01
Jason Kipnis,k,kipni,ja,01,kipnija01
Nico Hoerner,h,hoern,ni,01,hoernni01
Kris Bryant,b,bryan,kr,01,bryankr01
Billy Hamilton,h,hamil,bi,02,hamilbi02
David Bote,b,bote,da,01,boteda01
Ryan Braun,b,braun,ry,02,braunry02
Lorenzo Cain,c,cain,lo,01,cainlo01
Logan Morrison,m,morri,lo,01,morrilo01
Kevin Newman,n,newma,ke,01,newmake01
Colin Moran,m,moran,co,01,moranco01
Phillip Evans,e,evans,ph,01,evansph01
Guillermo Heredia,h,hered,gu,01,heredgu01
Steven Souza Jr.,s,souza,st,01,souzast01
Josh Phegley,p,phegl,jo,01,phegljo01
Albert Almora,a,almor,al,01,almoral01
Salvador Perez,p,perez,sa,02,perezsa02
Franchy Cordero,c,corde,fr,02,cordefr02
Ryan McBroom,m,mcbro,ry,01,mcbrory01
Bubba Starling,s,starl,bu,01,starlbu01
Luis Urias,u,urias,lu,01,uriaslu01
Brad Miller,m,mille,br,02,millebr02
Matt Wieters,w,wiete,ma,01,wietema01
Harrison Bader,b,bader,ha,01,baderha01
Ryan Goins,g,goins,ry,01,goinsry01
Hernan Perez,p,perez,he,01,perezhe01
Paul DeJong,d,dejon,pa,01,dejonpa01
Yadier Molina,m,molin,ya,01,molinya01
Rangel Ravelo,r,ravel,ra,01,ravelra01
Lane Thomas,t,thoma,la,02,thomala02
Jose Garcia,g,garci,jo,02,garcijo02
Tyler Stephenson,s,steph,ty,01,stephty01
Tyler Naquin,n,naqui,ty,01,naquity01
Roberto Perez,p,perez,ro,02,perezro02
Josh Naylor,n,naylo,jo,01,naylojo01
Yu Chang,c,chang,yu,01,changyu01
C.J. Cron,c,cron,c.,01,croncj01
Matt Davidson,d,david,ma,02,davidma02
Travis Jankowski,j,janko,tr,01,jankotr01
Christian Colon,c,colon,ch,01,colonch01
Daniel Johnson,j,johns,da,07,johnsda07
Mark Payton,p,payto,ma,01,paytoma01
Ke'Bryan Hayes,h,hayes,ke,01,hayeske01
Jace Peterson,p,peter,ja,01,peterja01
Tyrone Taylor,t,taylo,ty,01,tayloty01
Jacob Nottingham,n,notti,ja,01,nottija01
Erick Mejia,m,mejia,er,01,mejiaer01
Matt Reynolds,r,reyno,ma,03,reynoma03
Jared Oliva,o,oliva,ja,01,olivaja01
Andrew Susac,s,susac,an,01,susacan01
David Dahl,d,dahl,da,01,dahlda01
Chris Owings,o,owing,ch,01,owingch01
Greg Garcia,g,garci,gr,01,garcigr01
Austin Slater,s,slate,au,01,slateau01
Hunter Pence,p,pence,hu,01,pencehu01
Darin Ruf,r,ruf,da,01,rufda01
Shin-Soo Choo,c,choo,sh,01,choosh01
Elvis Andrus,a,andru,el,01,andruel01
Jose Trevino,t,trevi,jo,01,trevijo01
Taylor Jones,j,jones,ta,01,jonesta01
Daniel Robertson,r,rober,da,10,roberda10
Jonah Heim,h,heim,jo,01,heimjo01
Zach McKinstry,m,mckin,za,01,mckinza01
Jordy Mercer,m,merce,jo,03,mercejo03
Oscar Hernandez,h,herna,os,01,hernaos01
Travis Demeritte,d,demer,tr,01,demertr01
Dawel Lugo,l,lugo,da,01,lugoda01
Kelvin Gutierrez,g,gutie,ke,01,gutieke01
Eric Haase,h,haase,er,01,haaseer01
Yordan Alvarez,a,alvar,yo,01,alvaryo01
Nick Heath,h,heath,ni,01,heathni01
Brandon Dixon,d,dixon,br,01,dixonbr01
Derek Hill,h,hill,de,01,hillde01
Joe McCarthy,m,mccar,jo,04,mccarjo04
Jaylin Davis,d,davis,ja,03,davisja03
Rob Brantly,b,brant,ro,01,brantro01
Jahmai Jones,j,jones,ja,08,jonesja08
Elliot Soto,s,soto,el,01,sotoel01
Eddy Alvarez,a,alvar,ed,01,alvared01
Lewin Diaz,d,diaz,le,01,diazle01
Ryan Lavarnway,l,lavar,ry,01,lavarry01
Jesus Sanchez,s,sanch,je,02,sanchje02
Brian O'Grady,o,o'gra,br,01,ogradbr01
Isan Diaz,d,diaz,is,01,diazis01
Rafael Marchan,m,march,ra,01,marchra01
Sean Rodriguez,r,rodri,se,01,rodrise01
Andrew Stevenson,s,steve,an,01,stevean01
Jason Martin,m,marti,ja,03,martija03
Brent Rooker,r,rooke,br,01,rookebr01
Alex Kirilloff,k,kiril,al,01,kirilal01
Alejandro Kirk,k,kirk,al,01,kirkal01
Alex Jackson,j,jacks,al,02,jacksal02
William Contreras,c,contr,wi,01,contrwi01
Rene Rivera,r,river,re,01,riverre01
Brian Dozier,d,dozie,br,01,doziebr01
Starlin Castro,c,castr,st,01,castrst01
Robinson Chirinos,c,chiri,ro,01,chiriro01
Neil Walker,w,walke,ne,01,walkene01
Scott Heineman,h,heine,sc,01,heinesc01
Adolis Garcia,g,garci,ad,02,garciad02
Rob Refsnyder,r,refsn,ro,01,refsnro01
Luis Campusano,c,campu,lu,01,campulu01
