Pitcher,FirstLetterLastName,FirstFiveLastName,FirstTwoFirstName,Number,Link
Jordan Yamamoto,y,yamam,jo,01,yamamjo01
Stephen Strasburg,s,stras,st,01,strasst01
Max Scherzer,s,scher,ma,01,scherma01
Tanner Roark,r,roark,ta,01,roarkta01
Nathan Eovaldi,e,eoval,na,01,eovalna01
Colten Brewer,b,brewe,co,01,breweco01
Martin Perez,p,perez,ma,02,perezma02
Zack Godley,g,godle,za,01,godleza01
Ariel Jurado,j,jurad,ar,01,juradar01
Masahiro Tanaka,t,tanak,ma,01,tanakma01
Touki Toussaint,t,touss,to,01,toussto01
Huascar Ynoa,y,ynoa,hu,01,ynoahu01
Cole Hamels,h,hamel,co,01,hamelco01
Tommy Milone,m,milon,to,01,milonto01
Alex Cobb,c,cobb,al,01,cobbal01
Wade LeBlanc,l,lebla,wa,01,leblawa01
Chase Anderson,a,ander,ch,01,anderch01
Andrew Kittredge,k,kittr,an,01,kittran01
Jake Arrieta,a,arrie,ja,01,arrieja01
Max Fried,f,fried,ma,01,friedma01
Ian Anderson,a,ander,ia,01,anderia01
Robbie Erlin,e,erlin,ro,01,erlinro01
Taijuan Walker,w,walke,ta,01,walketa01
Robbie Ray,r,ray,ro,02,rayro02
Jordan Montgomery,m,montg,jo,01,montgjo01
Deivi Garcia,g,garci,de,01,garcide01
Keegan Akin,a,akin,ke,01,akinke01
Dean Kremer,k,kreme,de,01,kremede01
Jose Berrios,b,berri,jo,01,berrijo01
Randy Dobnak,d,dobna,ra,01,dobnara01
Kenta Maeda,m,maeda,ke,01,maedake01
Adrian Houser,h,house,ad,01,housead01
Josh Lindblom,l,lindb,jo,01,lindbjo01
Aaron Civale,c,cival,aa,01,civalaa01
Zach Plesac,p,plesa,za,01,plesaza01
Shane Bieber,b,biebe,sh,01,biebesh01
Dakota Hudson,h,hudso,da,01,hudsoda01
Matthew Boyd,b,boyd,ma,01,boydma01
Tarik Skubal,s,skuba,ta,01,skubata01
Casey Mize,m,mize,ca,01,mizeca01
Spencer Turnbull,t,turnb,sp,01,turnbsp01
Steven Brault,b,braul,st,01,braulst01
Trevor Williams,w,willi,tr,01,willitr01
Danny Duffy,d,duffy,da,01,duffyda01
Brady Singer,s,singe,br,01,singebr01
Kris Bubic,b,bubic,kr,01,bubickr01
Michael Fulmer,f,fulme,mi,01,fulmemi01
Jake Odorizzi,o,odori,ja,01,odorija01
Yu Darvish,d,darvi,yu,01,darviyu01
Jon Lester,l,leste,jo,01,lestejo01
Adbert Alzolay,a,alzol,ad,01,alzolad01
Brandon Woodruff,w,woodr,br,01,woodrbr01
Corbin Burnes,b,burne,co,01,burneco01
Freddy Peralta,p,peral,fr,01,peralfr01
Mitch Keller,k,kelle,mi,01,kellemi03
Brett Anderson,a,ander,br,04,anderbr04
Daniel Ponce de Leon,p,ponce,da,01,ponceda01
Dallas Keuchel,k,keuch,da,01,keuchda01
Reynaldo Lopez,l,lopez,re,01,lopezre01
Dylan Cease,c,cease,dy,01,ceasedy01
Jack Flaherty,f,flahe,ja,01,flaheja01
Johan Oviedo,o,ovied,jo,01,oviedjo01
Tyler Mahle,m,mahle,ty,01,mahlety01
Sonny Gray,g,gray,so,01,grayso01
Carlos Carrasco,c,carra,ca,01,carraca01
Rich Hill,h,hill,ri,01,hillri01
Michael Pineda,p,pined,mi,01,pinedmi01
Ivan Nova,n,nova,iv,01,novaiv01
Alec Mills,m,mills,al,02,millsal02
Kyle Hendricks,h,hendr,ky,01,hendrky01
Brad Keller,k,kelle,br,01,kellebr01
Chad Kuhl,k,kuhl,ch,01,kuhlch01
Tyler Chatwood,c,chatw,ty,01,chatwty01
Kwang Hyun Kim,h,hyun ,kw,01,kimkw01
Joe Musgrove,m,musgr,jo,01,musgrjo01
JT Brubaker,b,bruba,jt,01,brubajt01
Jonathan Stiever,s,stiev,jo,01,stievjo01
Ronald Bolanos,b,bolan,ro,01,bolanro01
Lucas Giolito,g,gioli,lu,01,giolilu01
Tejay Antone,a,anton,te,01,antonte01
Jakob Junis,j,junis,ja,01,junisja01
Dane Dunning,d,dunni,da,01,dunnida01
Joey Lucchesi,l,lucch,jo,01,lucchjo01
Zach Davies,d,davie,za,02,davieza02
Kevin Gausman,g,gausm,ke,01,gausmke01
Logan Webb,w,webb,lo,01,webblo01
Zac Gallen,g,galle,za,01,galleza01
Luke Weaver,w,weave,lu,01,weavelu01
Kolby Allard,a,allar,ko,01,allarko01
Michel Baez,b,baez,mi,01,baezmi01
Chris Paddack,p,padda,ch,01,paddach01
Griffin Canning,c,canni,gr,01,cannigr01
Jaime Barria,b,barri,ja,01,barrija01
Andrew Heaney,h,heane,an,01,heanean01
Alex Wood,w,wood,al,02,woodal02
Mike Montgomery,m,montg,mi,01,montgmi01
Kyle Zimmer,z,zimme,ky,01,zimmeky01
Gio Gonzalez,g,gonza,gi,01,gonzagi01
Adam Plutko,p,plutk,ad,01,plutkad01
Triston McKenzie,m,mcken,tr,01,mckentr01
Kendall Graveman,g,grave,ke,01,graveke01
Nestor Cortes Jr.,c,corte,ne,01,cortene01
Antonio Senzatela,s,senza,an,01,senzaan01
Patrick Sandoval,s,sando,pa,02,sandopa02
Jesus Luzardo,l,luzar,je,01,luzarje01
John Curtiss,c,curti,jo,02,curtijo02
Devin Smeltzer,s,smelt,de,01,smeltde01
Matt Wisler,w,wisle,ma,01,wislema01
Adam Wainwright,w,wainw,ad,01,wainwad01
Austin Gomber,g,gombe,au,01,gombeau01
Carlos Martinez,m,marti,ca,04,martica04
Jordan Zimmermann,z,zimme,jo,02,zimmejo02
Drew Smyly,s,smyly,dr,01,smylydr01
Jeff Samardzija,s,samar,je,01,samarje01
Luis Perdomo,p,perdo,lu,02,perdolu02
Julio Teheran,t,teher,ju,01,teherju01
Brent Suter,s,suter,br,01,suterbr01
Kyle Wright,w,wrigh,ky,01,wrighky01
Robert Gsellman,g,gsell,ro,01,gsellro01
Corey Oswalt,o,oswal,co,01,oswalco01
Josh Fleming,f,flemi,jo,01,flemijo01
Julian Merryweather,m,merry,ju,01,merryju01
Spencer Howard,h,howar,sp,01,howarsp01
Vince Velasquez,v,velas,vi,01,velasvi01
Mike Kickham,k,kickh,mi,01,kickhmi01
Carlos Rodon,r,rodon,ca,01,rodonca01
Anthony DeSclafani,d,descl,an,01,desclan01
Tyler Clippard,c,clipp,ty,01,clippty01
Derek Holland,h,holla,de,01,hollade01
Jose Urquidy,u,urqui,jo,01,urquijo01
Ryan Weber,w,weber,ry,01,weberry01
Austin Brice,b,brice,au,01,briceau01
Trevor Richards,r,richa,tr,01,richatr01
John Means,m,means,jo,01,meansjo01
Ryan Thompson,t,thomp,ry,02,thompry02
Mike Soroka,s,sorok,mi,01,sorokmi01
Sean Newcomb,n,newco,se,01,newcose01
Humberto Mejia,m,mejia,hu,01,mejiahu01
Daniel Castano,c,casta,da,01,castada01
Elieser Hernandez,h,herna,el,01,hernael01
Jorge Lopez,l,lopez,jo,02,lopezjo02
Pete Fairbanks,f,fairb,pe,01,fairbpe01
Dylan Bundy,b,bundy,dy,01,bundydy01
Shohei Ohtani,o,ohtan,sh,01,ohtansh01
Mike Minor,m,minor,mi,01,minormi01
Merrill Kelly,k,kelly,me,01,kellyme01
Robert Dugger,d,dugge,ro,01,duggero01
Thomas Eshelman,e,eshel,th,01,eshelto01
Walker Lockett,l,locke,wa,01,lockewa01
Steven Matz,m,matz,st,01,matzst01
Josh Tomlin,t,tomli,jo,01,tomlijo01
Seth Lugo,l,lugo,se,01,lugose01
Jose Quintana,q,quint,jo,01,quintjo01
Chi Chi Gonzalez,c,chi g,ch,01,gonzach01
Brusdar Graterol,g,grate,br,01,gratebr01
Luis Patino,p,patin,lu,01,patinlu01
Jose Suarez,s,suare,jo,01,suarejo01
Taylor Clarke,c,clark,ta,01,clarkta01
Ljay Newsome,n,newso,lj,01,newsolj01
Adrian Morejon,m,morej,ad,01,morejad01
Wade Miley,m,miley,wa,01,mileywa01
Matt Harvey,h,harve,ma,01,harvema01
Tom Hatch,h,hatch,to,01,hatchto01
Mike Foltynewicz,f,folty,mi,01,foltymi01
James Paxton,p,paxto,ja,01,paxtoja01
Trent Thornton,t,thorn,tr,01,thorntr01
Asher Wojciechowski,w,wojci,as,01,wojcias01
Andrew Triggs,t,trigg,an,01,triggan01
Chase De Jong,d,de jo,ch,01,dejonch01
Kyle Hart,h,hart,ky,01,hartky01
Michael King,k,king,mi,01,kingmi01
Jonathan Loaisiga,l,loais,jo,01,loaisjo01
Matt Andriese,a,andri,ma,01,andrima01
Bryse Wilson,w,wilso,br,02,wilsobr02
Tucker Davidson,d,david,tu,01,davidtu01
A.J. Minter,m,minte,a.,01,minteaj01
Josh Osich,o,osich,jo,01,osichjo01
Matt Hall,h,hall,ma,02,hallma02
Ryan Brasier,b,brasi,ry,01,brasiry01
Robinson Leyer,l,leyer,ro,01,leyerro01
Matt Foster,f,foste,ma,01,fostema01
Colin Rea,r,rea,co,01,reaco01
Michael Lorenzen,l,loren,mi,01,lorenmi01
Rony Garcia,g,garci,ro,03,garciro03
Tyler Alexander,a,alexa,ty,01,alexaty01
Justin Verlander,v,verla,ju,01,verlaju01
Carlos Hernandez,h,herna,ca,04,hernaca04
Joe Kelly,k,kelly,jo,05,kellyjo05
Victor Gonzalez,g,gonza,vi,02,gonzavi02
Eric Lauer,l,lauer,er,01,lauerer01
Homer Bailey,b,baile,ho,02,baileho02
Lewis Thorpe,t,thorp,le,01,thorple01
Clarke Schmidt,s,schmi,cl,01,schmicl01
Daniel Mengden,m,mengd,da,01,mengdda01
Adonis Medina,m,medin,ad,01,medinad01
Craig Stammen,s,stamm,cr,01,stammcr01
Caleb Baragar,b,barag,ca,01,baragca01
Aaron Slegers,s,slege,aa,01,slegeaa01
Corey Kluber,k,klube,co,01,klubeco01
T.J. Zeuch,z,zeuch,t.,01,zeuchtj01
