Batter,BatterHand
Will Smith,R
Ketel Marte,B
Starling Marte,R
Jake Lamb,L
Ildemaro Vargas,B
Tim Locastro,R
Myles Straw,R
Jon Jay,L
Andy Young,R
Tommy Pham,R
Francisco Mejia,B
Edward Olivares,R
Austin Hedges,R
Vimael Machin,L
Kevin Cron,R
Raimel Tapia,L
Trevor Story,R
Nolan Arenado,R
Daniel Murphy,L
Ryan McMahon,L
Matt Kemp,R
Sam Hilliard,L
Garrett Hampson,R
Tony Wolters,L
Charlie Blackmon,L
Josh Fuentes,R
Brendan Rodgers,R
Drew Butera,R
Elias Diaz,R
Wilmer Flores,R
Joey Bart,R
Joey Rickard,R
Gavin Lux,L
Wyatt Mathisen,R
Ty France,R
Luis Torrens,R
Phil Ervin,R
Kevin Pillar,R
Brandon Lowe,L
Joey Wendle,L
Yandy Diaz,R
Yoshi Tsutsugo,L
Manuel Margot,R
Kevin Kiermaier,L
Hunter Renfroe,R
Willy Adames,R
Mike Zunino,R
Ronald Acuna,R
Ozzie Albies,B
Freddie Freeman,L
Marcell Ozuna,R
Matt Adams,L
Travis d'Arnaud,R
Dansby Swanson,R
Austin Riley,R
Ender Inciarte,L
Jose Martinez,R
Mike Brosseau,R
Adam Duvall,R
Johan Camargo,B
Tyler Flowers,R
Amed Rosario,R
Brandon Nimmo,L
Pete Alonso,R
J.D. Davis,R
Michael Conforto,L
Yoenis Cespedes,R
Robinson Cano,L
Wilson Ramos,R
Andres Gimenez,L
Adeiny Hechavarria,R
Jeff McNeil,L
Dominic Smith,L
Tomas Nido,R
Bo Bichette,R
Cavan Biggio,L
Teoscar Hernandez,R
Lourdes Gurriel,R
Vladimir Guerrero Jr.,R
Randal Grichuk,R
Danny Jansen,R
Brandon Drury,R
Anthony Alford,R
Charlie Culberson,R
Rowdy Tellez,L
Travis Shaw,L
Joe Panik,L
Reese McGuire,L
Nick Markakis,L
Trea Turner,R
Adam Eaton,L
Juan Soto,L
Asdrubal Cabrera,B
Kurt Suzuki,R
Luis Garcia,L
Carter Kieboom,R
Eric Thames,L
Victor Robles,R
Yan Gomes,R
Andrew McCutchen,R
Rhys Hoskins,R
J.T. Realmuto,R
Jean Segura,R
Phil Gosselin,R
Didi Gregorius,L
Alec Bohm,R
Roman Quinn,B
Scott Kingery,R
Cristian Pache,R
Bryce Harper,L
Andrew Knapp,B
Adam Haseley,L
Howie Kendrick,R
Brock Holt,L
Michael Taylor,R
Corey Dickerson,L
Jesus Aguilar,R
Matthew Joyce,L
Garrett Cooper,R
Jon Berti,R
Jazz Chisholm,L
Miguel Rojas,R
Jorge Alfaro,R
Brian Anderson,R
Lewis Brinson,R
Monte Harrison,R
Chad Wallach,R
Alex Verdugo,L
Christian Arroyo,R
J.D. Martinez,R
Jackie Bradley,L
Kevin Plawecki,R
Bobby Dalbec,R
Tzu-Wei Lin,L
Michael Chavis,R
Jonathan Arauz,B
Rafael Devers,L
Xander Bogaerts,R
Christian Vazquez,R
Nick Senzel,R
Nick Castellanos,R
Joey Votto,L
Eugenio Suarez,R
Mike Moustakas,L
Aristides Aquino,R
Jesse Winker,L
Kyle Farmer,R
Curt Casali,R
Shogo Akiyama,L
Freddy Galvis,B
Tucker Barnhart,L
Magneuris Sierra,L
DJ LeMahieu,R
Aaron Judge,R
Gleyber Torres,R
Giancarlo Stanton,R
Aaron Hicks,B
Mike Ford,L
Gary Sanchez,R
Gio Urshela,R
Brett Gardner,L
Austin Hays,R
Anthony Santander,B
Jose Iglesias,R
Rio Ruiz,L
Hanser Alberto,R
Renato Nunez,R
Dwight Smith Jr.,L
Pedro Severino,R
DJ Stewart,L
Luke Voit,R
Miguel Andujar,R
Pat Valaika,R
Cedric Mullins,L
Ji-Man Choi,L
Andrew Velazquez,B
Chance Sisco,L
Jonathan Villar,B
Logan Forsythe,R
Francisco Cervelli,R
Chris Davis,L
Bryan Holaday,R
Josh Harrison,R
Wilmer Difo,B
Santiago Espinal,R
Jose Peraza,R
Ryan Mountcastle,R
Ramon Urias,R
Luis Guillorme,L
Ali Sanchez,R
Todd Frazier,R
Jake Marisnick,R
Clint Frazier,R
Kyle Higashioka,R
Thairo Estrada,R
Tyler Wade,L
Mason Williams,L
Mike Tauchman,L
Erik Kratz,R
Randy Arozarena,R
Nate Lowe,L
Michael Perez,L
Brett Phillips,L
Kevan Smith,R
Andrew Benintendi,L
Austin Meadows,L
Jay Bruce,L
Kyle Garlick,R
Yairo Munoz,R
Derek Fisher,L
Caleb Joseph,R
Cesar Puello,R
Max Kepler,L
Josh Donaldson,R
Jorge Polanco,B
Nelson Cruz,R
Eddie Rosario,L
Mitch Garver,R
Jake Cave,L
Miguel Sano,R
Luis Arraez,L
Tim Anderson,R
Yoan Moncada,B
Jose Abreu,R
Yasmani Grandal,B
Edwin Encarnacion,R
Eloy Jimenez,R
Luis Robert,R
Nicky Delmonico,L
Leury Garcia,B
Marwin Gonzalez,B
Ehire Adrianza,B
James McCann,R
Alex Avila,L
Danny Mendick,R
Ryon Healy,R
Keston Hiura,R
Avisail Garcia,R
Jedd Gyorko,R
Ben Gamel,L
Manny Pina,R
Mark Mathias,R
Orlando Arcia,R
Eric Sogard,L
Nomar Mazara,L
Christian Yelich,L
Justin Smoak,B
Omar Narvaez,L
Zack Collins,L
Cesar Hernandez,B
Jose Ramirez,B
Francisco Lindor,B
Carlos Santana,B
Franmil Reyes,R
Bradley Zimmer,L
Oscar Mercado,R
Sandy Leon,B
Delino DeShields,R
Adam Engel,R
Domingo Santana,R
Jordan Luplow,R
Beau Taylor,L
Mike Freeman,L
Kolten Wong,L
Tommy Edman,B
Paul Goldschmidt,R
Tyler O'Neill,R
Matt Carpenter,L
Dylan Carlson,B
Andrew Knizner,R
Dexter Fowler,B
John Nogowski,R
JaCoby Jones,R
Willi Castro,B
Miguel Cabrera,R
Jonathan Schoop,R
Jeimer Candelario,B
Cameron Maybin,R
Austin Romine,R
Isaac Paredes,R
Victor Reyes,B
Niko Goodrum,B
Harold Castro,L
Christin Stewart,L
Jorge Bonifacio,R
Grayson Greiner,R
Erik Gonzalez,R
Adam Frazier,L
Bryan Reynolds,B
Josh Bell,B
Gregory Polanco,L
JT Riddle,L
Cole Tucker,B
Jarrod Dyson,L
John Ryan Murphy,R
Jacob Stallings,R
Jose Osuna,R
Whit Merrifield,R
Hunter Dozier,R
Jorge Soler,R
Ryan O'Hearn,L
Maikel Franco,R
Alex Gordon,L
Adalberto Mondesi,B
Nicky Lopez,L
Cam Gallagher,R
Meibrys Viloria,L
Nick Madrigal,R
Daz Cameron,R
Yolmer Sanchez,B
Sergio Alcantara,B
LaMonte Wade Jr,L
Byron Buxton,R
Willians Astudillo,R
Travis Blankenhorn,L
Ryan Jeffers,R
Ian Happ,B
Anthony Rizzo,L
Willson Contreras,R
Jason Heyward,L
Javier Baez,R
Kyle Schwarber,L
Victor Caratini,B
Jason Kipnis,L
Nico Hoerner,R
Kris Bryant,R
Billy Hamilton,B
David Bote,R
Ryan Braun,R
Lorenzo Cain,R
Logan Morrison,L
Kevin Newman,R
Colin Moran,L
Phillip Evans,R
Guillermo Heredia,R
Steven Souza Jr.,R
Josh Phegley,R
Albert Almora,R
Salvador Perez,R
Franchy Cordero,L
Ryan McBroom,R
Bubba Starling,R
Luis Urias,R
Brad Miller,L
Matt Wieters,B
Harrison Bader,R
Ryan Goins,L
Hernan Perez,R
Paul DeJong,R
Yadier Molina,R
Rangel Ravelo,R
Lane Thomas,R
Jose Garcia,R
Tyler Stephenson,R
Tyler Naquin,L
Roberto Perez,R
Josh Naylor,L
Yu Chang,R
C.J. Cron,R
Matt Davidson,R
Travis Jankowski,L
Christian Colon,R
Daniel Johnson,L
Mark Payton,L
Ke'Bryan Hayes,R
Jace Peterson,L
Tyrone Taylor,R
Jacob Nottingham,R
Erick Mejia,B
Matt Reynolds,R
Jared Oliva,R
Andrew Susac,R
David Dahl,L
Chris Owings,R
Greg Garcia,L
Austin Slater,R
Hunter Pence,R
Darin Ruf,R
Shin-Soo Choo,L
Elvis Andrus,R
Jose Trevino,R
Taylor Jones,R
Daniel Robertson,R
Jonah Heim,B
Zach McKinstry,L
Jordy Mercer,R
Oscar Hernandez,R
Travis Demeritte,R
Dawel Lugo,R
Kelvin Gutierrez,R
Eric Haase,R
Yordan Alvarez,L
Nick Heath,L
Brandon Dixon,R
Derek Hill,R
Joe McCarthy,L
Jaylin Davis,R
Rob Brantly,L
Jahmai Jones,R
Elliot Soto,R
Eddy Alvarez,B
Lewin Diaz,L
Ryan Lavarnway,R
Jesus Sanchez,L
Brian O'Grady,L
Isan Diaz,L
Rafael Marchan,B
Sean Rodriguez,R
Andrew Stevenson,L
Jason Martin,L
Brent Rooker,R
Alex Kirilloff,L
Alejandro Kirk,R
Alex Jackson,R
William Contreras,R
Rene Rivera,R
Brian Dozier,R
Starlin Castro,R
Robinson Chirinos,R
Neil Walker,B
Scott Heineman,R
Adolis Garcia,R
Rob Refsnyder,R
Luis Campusano,R
Luis Alexander Basabe,B
Harold Ramirez,R
Mickey Moniak,L
Jonathan Davis,R
Justin Williams,L
Abraham Almonte,B
Danny Santana,B
Seth Brown,L
Yadiel Rivera,R
Austin Dean,R
Yadiel Hernandez,L
Emilio Bonifacio,B
Ryan Cordell,R
Brian Navarreto,R
Jake Noll,R
Jakob Bauers,L
Kenta Maeda,R
Brandon Woodruff,L
Tyler Anderson,L
Kyle Hendricks,R
Max Fried,L
Aaron Nola,R
Tyler Glasnow,L
Trey Mancini,R
Sandy Alcantara,R
Jack Flaherty,R
Jonathan India,R
Luis Castillo,R
Clayton Kershaw,L
German Marquez,R
Yu Darvish,R
Jacob deGrom,L
Max Scherzer,R
Andrew Vaughn,R
Jed Lowrie,B
Buster Posey,R
Jason Vosler,L
Mitch Haniger,R
Tom Murphy,R
Taylor Trammell,L
Madison Bumgarner,R
